Name,Address,Source,XmlTag,RawName
AcqFrameRateMaxInq,0x20080000,RegAddrGroup,Integer,AcqFrameRateMaxInq_RegAddr
AcqFrameRateMinInq,0x20080004,RegAddrGroup,Integer,AcqFrameRateMinInq_RegAddr
AcqFrameRateUnitInq,0x20080008,RegAddrGroup,Integer,AcqFrameRateUnitInq_RegAddr
AcquisitionFrameRate,0x20010000,RegAddrGroup,Integer,AcquisitionFrameRate_RegAddr
AcquisitionMode,0x02000024,RegAddrGroup,Integer,AcquisitionMode_RegAddr
AcquisitionStart,0x02ff001c,RegAddrGroup,Integer,AcquisitionStart_RegAddr
AcquisitionStop,0x02ff0020,RegAddrGroup,Integer,AcquisitionStop_RegAddr
ActualFrameCount,0x200101c4,RegAddrGroup,Integer,ActualFrameCount_RegAddr
AimingLight,0x20010198,RegAddrGroup,Integer,AimingLight_RegAddr
AimingLightControlInq,0x000102f4,RegAddrGroup,Integer,AimingLightControlInq_RegAddr
AlgorithmAbility,0x01000000,RegAddrGroup,Integer,AlgorithmAbility_RegAddr
AnglemeasureAlgorithmVersion,0x20130130,RegAddrGroup,Integer,AnglemeasureAlgorithmVersion_RegAddr
AnglemeasureHistogramFilePath,0x201301b8,RegAddrGroup,Integer,AnglemeasureHistogramFilePath_RegAddr
AnglemeasureLine1EdgePolarity,0x2013011c,RegAddrGroup,Integer,AnglemeasureLine1EdgePolarity_RegAddr
AnglemeasureLine1FindMode,0x20130120,RegAddrGroup,Integer,AnglemeasureLine1FindMode_RegAddr
AnglemeasureLine1LineRate,0x20130200,RegAddrGroup,Integer,AnglemeasureLine1LineRate_RegAddr
AnglemeasureLine1ManualEdit,0x20130110,RegAddrGroup,Integer,AnglemeasureLine1ManualEdit_RegAddr
AnglemeasureLine1P2BoxDist,0x201301b0,RegAddrGroup,Integer,AnglemeasureLine1P2BoxDist_RegAddr
AnglemeasureLine1Sensitivity,0x20130118,RegAddrGroup,Integer,AnglemeasureLine1Sensitivity_RegAddr
AnglemeasureLine1Threshold,0x201301f8,RegAddrGroup,Integer,AnglemeasureLine1Threshold_RegAddr
AnglemeasureLine2EdgePolarity,0x20130128,RegAddrGroup,Integer,AnglemeasureLine2EdgePolarity_RegAddr
AnglemeasureLine2FindMode,0x2013012c,RegAddrGroup,Integer,AnglemeasureLine2FindMode_RegAddr
AnglemeasureLine2LineRate,0x20130204,RegAddrGroup,Integer,AnglemeasureLine2LineRate_RegAddr
AnglemeasureLine2ManualEdit,0x20130114,RegAddrGroup,Integer,AnglemeasureLine2ManualEdit_RegAddr
AnglemeasureLine2P2BoxDist,0x201301b4,RegAddrGroup,Integer,AnglemeasureLine2P2BoxDist_RegAddr
AnglemeasureLine2Sensitivity,0x20130124,RegAddrGroup,Integer,AnglemeasureLine2Sensitivity_RegAddr
AnglemeasureLine2Threshold,0x201301fc,RegAddrGroup,Integer,AnglemeasureLine2Threshold_RegAddr
AnglemeasureMeasureLimitHigh,0x2013010c,RegAddrGroup,Integer,AnglemeasureMeasureLimitHigh_RegAddr
AnglemeasureMeasureLimitLow,0x20130108,RegAddrGroup,Integer,AnglemeasureMeasureLimitLow_RegAddr
AnglemeasureMeasureLimitMax,0x20130104,RegAddrGroup,Integer,AnglemeasureMeasureLimitMax_RegAddr
AnglemeasureModuleCustomName,0x20130208,RegAddrGroup,Integer,AnglemeasureModuleCustomName_RegAddr
AnglemeasureResultDrawEnable,0x20130248,RegAddrGroup,Integer,AnglemeasureResultDrawEnable_RegAddr
AnglemeasureRoiType,0x20130004,RegAddrGroup,Integer,AnglemeasureRoiType_RegAddr
AnglemeasureShieldArea,0x20130084,RegAddrGroup,Integer,AnglemeasureShieldArea_RegAddr
AnglemeasureSubFixtureEnable,0x20130254,RegAddrGroup,Integer,AnglemeasureSubFixtureEnable_RegAddr
AnglemeasureSubRoiEnable,0x20130258,RegAddrGroup,Integer,AnglemeasureSubRoiEnable_RegAddr
AnomalyDetectCategoryResult,0x2048013c,RegAddrGroup,Integer,AnomalyDetectCategoryResult_RegAddr
AnomalyDetectCellMode,0x20480000,RegAddrGroup,Integer,AnomalyDetectCellMode_RegAddr
AnomalyDetectCellSize,0x20480004,RegAddrGroup,Integer,AnomalyDetectCellSize_RegAddr
AnomalyDetectChangeImageType,0x20480144,RegAddrGroup,Integer,AnomalyDetectChangeImageType_RegAddr
AnomalyDetectDelTarinImgType,0x20480130,RegAddrGroup,Integer,AnomalyDetectDelTarinImgType_RegAddr
AnomalyDetectDeleteModelName,0x2048010c,RegAddrGroup,Integer,AnomalyDetectDeleteModelName_RegAddr
AnomalyDetectDeleteTrainImage,0x204800a8,RegAddrGroup,Integer,AnomalyDetectDeleteTrainImage_RegAddr
AnomalyDetectDownsampleRate,0x20480138,RegAddrGroup,Integer,AnomalyDetectDownsampleRate_RegAddr
AnomalyDetectFeatureEnable,0x2048000c,RegAddrGroup,Integer,AnomalyDetectFeatureEnable_RegAddr
AnomalyDetectGetNowTarinImgType,0x20480134,RegAddrGroup,Integer,AnomalyDetectGetNowTarinImgType_RegAddr
AnomalyDetectModelBuildType,0x20480108,RegAddrGroup,Integer,AnomalyDetectModelBuildType_RegAddr
AnomalyDetectModelName,0x204800c8,RegAddrGroup,Integer,AnomalyDetectModelName_RegAddr
AnomalyDetectModelRoi,0x204801cc,RegAddrGroup,Integer,AnomalyDetectModelRoi_RegAddr
AnomalyDetectModuleCustomName,0x2048001c,RegAddrGroup,Integer,AnomalyDetectModuleCustomName_RegAddr
AnomalyDetectOutFilterEnable,0x2048020c,RegAddrGroup,Integer,AnomalyDetectOutFilterEnable_RegAddr
AnomalyDetectOutFilterRate,0x20480210,RegAddrGroup,Integer,AnomalyDetectOutFilterRate_RegAddr
AnomalyDetectRestrainMode,0x204801c8,RegAddrGroup,Integer,AnomalyDetectRestrainMode_RegAddr
AnomalyDetectRestrainThold,0x204801c4,RegAddrGroup,Integer,AnomalyDetectRestrainThold_RegAddr
AnomalyDetectResultDrawEnable,0x2048005c,RegAddrGroup,Integer,AnomalyDetectResultDrawEnable_RegAddr
AnomalyDetectRoiType,0x20480060,RegAddrGroup,Integer,AnomalyDetectRoiType_RegAddr
AnomalyDetectSaveImgEnable,0x2048012c,RegAddrGroup,Integer,AnomalyDetectSaveImgEnable_RegAddr
AnomalyDetectScoreThreshold,0x20480008,RegAddrGroup,Integer,AnomalyDetectScoreThreshold_RegAddr
AnomalyDetectSimilarityLimitHigh,0x20480018,RegAddrGroup,Integer,AnomalyDetectSimilarityLimitHigh_RegAddr
AnomalyDetectSimilarityLimitLow,0x20480014,RegAddrGroup,Integer,AnomalyDetectSimilarityLimitLow_RegAddr
AnomalyDetectStartTrain,0x20480010,RegAddrGroup,Integer,AnomalyDetectStartTrain_RegAddr
AnomalyDetectSubFixtureEnable,0x20480140,RegAddrGroup,Integer,AnomalyDetectSubFixtureEnable_RegAddr
AnomalyDetectTrainNgNum,0x204800a4,RegAddrGroup,Integer,AnomalyDetectTrainNgNum_RegAddr
AnomalyDetectTrainOkNum,0x204800a0,RegAddrGroup,Integer,AnomalyDetectTrainOkNum_RegAddr
AnomalyjudgeCompareType,0x20630000,RegAddrGroup,Integer,AnomalyjudgeCompareType_RegAddr
AnomalyjudgeCurrentDetectModelName,0x206302d8,RegAddrGroup,Integer,AnomalyjudgeCurrentDetectModelName_RegAddr
AnomalyjudgeCurrentUsedModelName,0x206303d8,RegAddrGroup,Integer,AnomalyjudgeCurrentUsedModelName_RegAddr
AnomalyjudgeDatasetID,0x20630358,RegAddrGroup,Integer,AnomalyjudgeDatasetID_RegAddr
AnomalyjudgeDeleteModelName,0x2063018c,RegAddrGroup,Integer,AnomalyjudgeDeleteModelName_RegAddr
AnomalyjudgeInheritRoi,0x20630464,RegAddrGroup,Integer,AnomalyjudgeInheritRoi_RegAddr
AnomalyjudgeInheritRoiEnable,0x20630460,RegAddrGroup,Integer,AnomalyjudgeInheritRoiEnable_RegAddr
AnomalyjudgeJudgmentType,0x2063045c,RegAddrGroup,Integer,AnomalyjudgeJudgmentType_RegAddr
AnomalyjudgeLabelName,0x20630004,RegAddrGroup,Integer,AnomalyjudgeLabelName_RegAddr
AnomalyjudgeLabelType,0x20630458,RegAddrGroup,Integer,AnomalyjudgeLabelType_RegAddr
AnomalyjudgeMinimumConfidence,0x206302d4,RegAddrGroup,Integer,AnomalyjudgeMinimumConfidence_RegAddr
AnomalyjudgeModelMangListShowEnable,0x2063028c,RegAddrGroup,Integer,AnomalyjudgeModelMangListShowEnable_RegAddr
AnomalyjudgeModelMangPath,0x2063008c,RegAddrGroup,Integer,AnomalyjudgeModelMangPath_RegAddr
AnomalyjudgeModuleCustomName,0x20630048,RegAddrGroup,Integer,AnomalyjudgeModuleCustomName_RegAddr
AnomalyjudgeResultDrawEnable,0x20630088,RegAddrGroup,Integer,AnomalyjudgeResultDrawEnable_RegAddr
AnomalyjudgeRoiType,0x20630290,RegAddrGroup,Integer,AnomalyjudgeRoiType_RegAddr
AnomalyjudgeSimilarityLimit,0x20630044,RegAddrGroup,Integer,AnomalyjudgeSimilarityLimit_RegAddr
AnomalyjudgeSubFixtureEnable,0x206302d0,RegAddrGroup,Integer,AnomalyjudgeSubFixtureEnable_RegAddr
AnomalyjudgeSwitchModelName,0x2063020c,RegAddrGroup,Integer,AnomalyjudgeSwitchModelName_RegAddr
AnomalyjudgeUploadModelName,0x2063010c,RegAddrGroup,Integer,AnomalyjudgeUploadModelName_RegAddr
AutoExposureInq,0x00010204,RegAddrGroup,Integer,AutoExposureInq_RegAddr
AutoExposureTimeLowerLimit,0x00031400,RegAddrGroup,Integer,AutoExposureTimeLowerLimit_RegAddr
AutoExposureTimeLowerLimitIncInq,0x00010508,RegAddrGroup,Integer,AutoExposureTimeLowerLimitIncInq_RegAddr
AutoExposureTimeLowerLimitMaxInq,0x00010504,RegAddrGroup,Integer,AutoExposureTimeLowerLimitMaxInq_RegAddr
AutoExposureTimeLowerLimitMinInq,0x00010500,RegAddrGroup,Integer,AutoExposureTimeLowerLimitMinInq_RegAddr
AutoExposureTimeUpperLimit,0x00031404,RegAddrGroup,Integer,AutoExposureTimeUpperLimit_RegAddr
AutoExposureTimeUpperLimitIncInq,0x00010518,RegAddrGroup,Integer,AutoExposureTimeUpperLimitIncInq_RegAddr
AutoExposureTimeUpperLimitMaxInq,0x00010514,RegAddrGroup,Integer,AutoExposureTimeUpperLimitMaxInq_RegAddr
AutoExposureTimeUpperLimitMinInq,0x00010510,RegAddrGroup,Integer,AutoExposureTimeUpperLimitMinInq_RegAddr
AutoFocus,0x20010180,RegAddrGroup,Integer,AutoFocus_RegAddr
AutoGainLowerLimit,0x00031408,RegAddrGroup,Integer,AutoGainLowerLimit_RegAddr
AutoGainLowerLimitIncInq,0x00010528,RegAddrGroup,Integer,AutoGainLowerLimitIncInq_RegAddr
AutoGainLowerLimitMaxInq,0x00010524,RegAddrGroup,Integer,AutoGainLowerLimitMaxInq_RegAddr
AutoGainLowerLimitMinInq,0x00010520,RegAddrGroup,Integer,AutoGainLowerLimitMinInq_RegAddr
AutoGainUpperLimit,0x0003140c,RegAddrGroup,Integer,AutoGainUpperLimit_RegAddr
AutoGainUpperLimitIncInq,0x00010538,RegAddrGroup,Integer,AutoGainUpperLimitIncInq_RegAddr
AutoGainUpperLimitMaxInq,0x00010534,RegAddrGroup,Integer,AutoGainUpperLimitMaxInq_RegAddr
AutoGainUpperLimitMinInq,0x00010530,RegAddrGroup,Integer,AutoGainUpperLimitMinInq_RegAddr
AutoLimitInq,0x000104f4,RegAddrGroup,Integer,AutoLimitInq_RegAddr
AwbData,0x200100b0,RegAddrGroup,Integer,AwbData_RegAddr
AwbEnable,0x200100a8,RegAddrGroup,Integer,AwbEnable_RegAddr
AwbMode,0x200100ac,RegAddrGroup,Integer,AwbMode_RegAddr
BOX_ocr_in_obj_box_ang,0x203b0458,RegAddrGroup,Integer,BOX_ocr_in_obj_box_ang_RegAddr
BOX_ocr_in_obj_box_cx,0x203b0358,RegAddrGroup,Integer,BOX_ocr_in_obj_box_cx_RegAddr
BOX_ocr_in_obj_box_cy,0x203b0398,RegAddrGroup,Integer,BOX_ocr_in_obj_box_cy_RegAddr
BOX_ocr_in_obj_box_h,0x203b0418,RegAddrGroup,Integer,BOX_ocr_in_obj_box_h_RegAddr
BOX_ocr_in_obj_box_w,0x203b03d8,RegAddrGroup,Integer,BOX_ocr_in_obj_box_w_RegAddr
BaseImageQueryParam,0x05001080,RegAddrGroup,Integer,BaseImageQueryParam_RegAddr
BaseimageAlgorithmTimeout,0x202300fc,RegAddrGroup,Integer,BaseimageAlgorithmTimeout_RegAddr
BaseimageAlgorithmVersionAddr,0x2023006c,RegAddrGroup,Integer,BaseimageAlgorithmVersionAddr
BaseimageAngleEnd,0x20230058,RegAddrGroup,Integer,BaseimageAngleEnd_RegAddr
BaseimageAngleStart,0x20230054,RegAddrGroup,Integer,BaseimageAngleStart_RegAddr
BaseimageCentralPoint,0x20230000,RegAddrGroup,Integer,BaseimageCentralPoint_RegAddr
BaseimageDeleteAllImage,0x2023034c,RegAddrGroup,Integer,BaseimageDeleteAllImage_RegAddr
BaseimageDeleteImageName,0x2023030c,RegAddrGroup,Integer,BaseimageDeleteImageName_RegAddr
BaseimageDeleteModelName,0x20230140,RegAddrGroup,Integer,BaseimageDeleteModelName_RegAddr
BaseimageDesignateModelName,0x202302c8,RegAddrGroup,Integer,BaseimageDesignateModelName_RegAddr
BaseimageDstModelName,0x202302a8,RegAddrGroup,Integer,BaseimageDstModelName_RegAddr
BaseimageEnableMultiReferenceMode,0x20230350,RegAddrGroup,Integer,BaseimageEnableMultiReferenceMode_RegAddr
BaseimageGenerateModel,0x20230284,RegAddrGroup,Integer,BaseimageGenerateModel_RegAddr
BaseimageMatchPointX,0x202302e8,RegAddrGroup,Integer,BaseimageMatchPointX_RegAddr
BaseimageMatchPointY,0x202302ec,RegAddrGroup,Integer,BaseimageMatchPointY_RegAddr
BaseimageMaxOverlap,0x2023005c,RegAddrGroup,Integer,BaseimageMaxOverlap_RegAddr
BaseimageMinScore,0x2023004c,RegAddrGroup,Integer,BaseimageMinScore_RegAddr
BaseimageModelMangListShowEnable,0x20230280,RegAddrGroup,Integer,BaseimageModelMangListShowEnable_RegAddr
BaseimageModelMangPath,0x20230100,RegAddrGroup,Integer,BaseimageModelMangPath_RegAddr
BaseimageModelRoi,0x202300f4,RegAddrGroup,Integer,BaseimageModelRoi_RegAddr
BaseimageModelStatus,0x20230354,RegAddrGroup,Integer,BaseimageModelStatus_RegAddr
BaseimagePolarity,0x20230050,RegAddrGroup,Integer,BaseimagePolarity_RegAddr
BaseimagePyramidChainFlag,0x20230304,RegAddrGroup,Integer,BaseimagePyramidChainFlag_RegAddr
BaseimagePyramidChainLen,0x20230308,RegAddrGroup,Integer,BaseimagePyramidChainLen_RegAddr
BaseimagePyramidLevel,0x20230040,RegAddrGroup,Integer,BaseimagePyramidLevel_RegAddr
BaseimagePyramidLevelFlag,0x202302fc,RegAddrGroup,Integer,BaseimagePyramidLevelFlag_RegAddr
